('l-1cva9rA8_ugLrtSdKAqA', 'cyuDrrG5eEK-TZI867MUPA'),4234.0
('DKolrsBSwMTpTJL22dqJRQ', '4pc_EyanaC3ARh0MZZyouA'),247.53829313960844
('_VTEyUzzH92X3w-IpGaXVA', 'LcCRMIDz1JgshpPGYfLDcA'),245.8079143079147
('kwIhn1_cnQeUaLN0CuWWHw', 'MtdSCXtmrSxj_uZOJ5ZycQ'),242.99999999999997
('kwIhn1_cnQeUaLN0CuWWHw', 'KLB3wIYUwKDPMbijIE92vg'),238.07142857142853
('JM0GL6Dx4EuZ1mprLk5Gyg', 'dzJDCQ5vubQBJTfYTEmcbg'),215.63333333333333
('e5kg9bLvlJz-MEUrGjIeVQ', 'MtdSCXtmrSxj_uZOJ5ZycQ'),203.1780108780108
('0FMte0z-repSVWSJ_BaQTg', '0FVcoJko1kfZCrJRfssfIA'),189.0
('0FVcoJko1kfZCrJRfssfIA', '7Vfy39A_totC-w70qZi0MA'),189.0
('0FVcoJko1kfZCrJRfssfIA', 'BDjiEmXljD2ZHT61Iv9rrQ'),189.0
('0FVcoJko1kfZCrJRfssfIA', 'JLv2Dmfj73-I0d9N41tz1A'),189.0
('0FVcoJko1kfZCrJRfssfIA', 'KgJdBWS3ReP6TVhYWJRKmg'),189.0
('0FVcoJko1kfZCrJRfssfIA', 'UAB1Zyg6Q0oEpXeYRf5K_g'),189.0
('0FVcoJko1kfZCrJRfssfIA', 'XUEwSGOGARxW-3gPiGJKUg'),189.0
('0FVcoJko1kfZCrJRfssfIA', 'bbK1mL-AyYCHZncDQ_4RgA'),189.0
('0FVcoJko1kfZCrJRfssfIA', 'j8Dts8irvVBwEhEEae_-wA'),189.0
('0FVcoJko1kfZCrJRfssfIA', 'p9942XebvxZ9ubHm4SXmMQ'),189.0
('0FVcoJko1kfZCrJRfssfIA', 'sO6iNKgv_ToVfof-aQWgXg'),189.0
('0FVcoJko1kfZCrJRfssfIA', 'voXU5A3FfOcXZ2VNsJ0q4w'),189.0
('0KhRPd66BZGHCtsb9mGh_g', 'dzJDCQ5vubQBJTfYTEmcbg'),189.0
('0QREkWHGO8-Z_70qx1BIWw', 'kKTcYPz47sCDH1_ylnE4ZQ'),189.0
('37HswRimgBEf7_US-c3CDA', 'e5kg9bLvlJz-MEUrGjIeVQ'),189.0
('39FT2Ui8KUXwmUt6hnwy-g', '79yaBDbLASfIdB-C2c8DzA'),189.0
('39FT2Ui8KUXwmUt6hnwy-g', 'ChshgCKJTdIDg17JKtFuJw'),189.0
('39FT2Ui8KUXwmUt6hnwy-g', 'PE8s8ACYABRNANI-T_WmzA'),189.0
('39FT2Ui8KUXwmUt6hnwy-g', 'sdLns7062kz3Ur_b8wgeYw'),189.0
('5DgFmyjW6hkBtXtTMKl4tA', 'nOTl4aPC4tKHK35T3bNauQ'),189.0
('750rhwO7D_Cul7_GtO9Jsg', 'fLnkI1uHtXEsjtF6KoBHbQ'),189.0
('7RCz4Ln_FaTvNrdwe251Dg', '9xM8upr_n9jchUDKxqSGHw'),189.0
('903YwVSoAKyzudc8LH_HMA', 'm1IVpXClMox1VGw5hO2LhQ'),189.0
('DkLSyxogCcJXY5DbTZ-f2A', 'bSUS0YcvS7UelmHvCzNWBA'),189.0
('EY8h9IJimXDNbPXVFpYF3A', 'hilL60vuuh06sMxs6Ckkog'),189.0
('H4EQn0rjFuGRgIm6c9NFLg', 'a48HhwcmjFLApZhiax41IA'),189.0
('HLY9oDcVBH9D25lU4X_V5Q', 'fOut10lknIp64tm3z6UTNg'),189.0
('IXD-jdycm7m34b_Nliy82g', '0FVcoJko1kfZCrJRfssfIA'),189.0
('IuaAfrkirlfzY3f4PkgSmw', 'Y0-lLNc2Y7gUGXPzSsMueQ'),189.0
('JM0GL6Dx4EuZ1mprLk5Gyg', '2k8OVAPxlXHsA5X6EIoQpQ'),189.0
('JM0GL6Dx4EuZ1mprLk5Gyg', '8oYMqhC5fhqAK_yxRjE7dQ'),189.0
('JM0GL6Dx4EuZ1mprLk5Gyg', 'NlNlyQynkyEU3l7TR3LXdg'),189.0
('JM0GL6Dx4EuZ1mprLk5Gyg', 'TZ974xcbw2kqjYxAhDUYVg'),189.0
('JM0GL6Dx4EuZ1mprLk5Gyg', 'UYcmGbelzRa0Q6JqzLoguw'),189.0
('JRqMFKGxx6DnTGZrxwQZaA', 'JM0GL6Dx4EuZ1mprLk5Gyg'),189.0
('KBoIRjxSW7OWczv8OS9Bew', 'l-1cva9rA8_ugLrtSdKAqA'),189.0
('LgFDWZTLi1w9OGi5BtKORg', 'cyuDrrG5eEK-TZI867MUPA'),189.0
('LiNx18WUre9WFCEQlUhtKA', 'hilL60vuuh06sMxs6Ckkog'),189.0
('MtdSCXtmrSxj_uZOJ5ZycQ', '2xVrxhQJUBmOyG4ML77XKw'),189.0
('MtdSCXtmrSxj_uZOJ5ZycQ', 'SsOiVav4V5_NjTl21Lj92w'),189.0
('O9pMFJSPg80YVzpMfNikxw', 'KLB3wIYUwKDPMbijIE92vg'),189.0
('ORJnGXXkS9tQBTNyPQJF9A', 'cyuDrrG5eEK-TZI867MUPA'),189.0
('TjsBbWAfwxWEXPxaLNv5SQ', '0FVcoJko1kfZCrJRfssfIA'),189.0
('XEqQG61fetXhuEV9RPslIA', 'hLVq7VSJBHZwqurwWoCmpg'),189.0
('_VTEyUzzH92X3w-IpGaXVA', 'jPcrABeWgWlTPi-E0Op_aA'),189.0
('a48HhwcmjFLApZhiax41IA', 'H5Asta4LpiKmRhSjWaogIg'),189.0
('a48HhwcmjFLApZhiax41IA', 'e5sdXDOkCf0sIUAivXVluA'),189.0
('ay4M5J28kBUf0odOQct0BA', '23o7tyUGlC6FCDVcyqLeFA'),189.0
('ay4M5J28kBUf0odOQct0BA', 'ELfzWgdf64VBLi5z1ECItw'),189.0
('bE7Yd0jI_P6g27MWEKKalA', 'Tk_FWXueutKii3f9yJFsdw'),189.0
('bSUS0YcvS7UelmHvCzNWBA', 'T88y73qdOSutuvzLlhWtqQ'),189.0
('e5kg9bLvlJz-MEUrGjIeVQ', 'VdoTNYWuoXo01umgannw8A'),189.0
('e5kg9bLvlJz-MEUrGjIeVQ', 'WaAOt_eG0_-yLpG3fI--3g'),189.0
('fLnkI1uHtXEsjtF6KoBHbQ', 'DjcRgZ0cJbf6-W2TxvFlBA'),189.0
('fLnkI1uHtXEsjtF6KoBHbQ', 'MwpK7PqQX7fgTFM2Pfy61w'),189.0
('fcWM-oqjgS94yi1INhZa0g', 'e5kg9bLvlJz-MEUrGjIeVQ'),189.0
('hd343st7cOIUSfAd5r0U7A', 'DKolrsBSwMTpTJL22dqJRQ'),189.0
('k24kSTpZHUdEd-QYXLy3fQ', 'pDNeS1nbkKS7mJmhRQJPig'),189.0
('kwIhn1_cnQeUaLN0CuWWHw', 'jgoG_hHqnhZvQEoBK0-82w'),189.0
('kwIhn1_cnQeUaLN0CuWWHw', 'qd16czwFUVHICKF7A4qWsQ'),189.0
('ma6206bmu-a_Ja7Iv-yRCw', '0FVcoJko1kfZCrJRfssfIA'),189.0
('mnoe2vwouRADn97dTDkw4A', 'KLB3wIYUwKDPMbijIE92vg'),189.0
('tekHDsd0fskYG3tqu4sHQw', 'PKEzKWv_FktMm2mGPjwd0Q'),189.0
('tekHDsd0fskYG3tqu4sHQw', 'xrvyW1ruKS0uz9RtFewC0Q'),189.0
('waN6iwcphiVEoCews4f4CA', '0FVcoJko1kfZCrJRfssfIA'),189.0
('yCaDISH0R8e5U376zDWTpQ', '0FVcoJko1kfZCrJRfssfIA'),189.0
('UmTMCfPlhA6kJLAsLycSfg', 'Uo5dPwoDpYBzOnmUnjxJ6A'),188.0
('Uo5dPwoDpYBzOnmUnjxJ6A', '9W73B44Iw8WslrTNB2CdCg'),188.0
('a48HhwcmjFLApZhiax41IA', '6YmRpoIuiq8I19Q8dHKTHw'),187.0
('a48HhwcmjFLApZhiax41IA', 'BDmxm7aeWFOLT35gSvkmig'),187.0
('a48HhwcmjFLApZhiax41IA', 'angEr2YcXmCl20s8WQu32w'),187.0
('frQs7y5qa-X1pvAM0sJe1w', 'a48HhwcmjFLApZhiax41IA'),187.0
('0FVcoJko1kfZCrJRfssfIA', '97j2wkFU46OOgm6ErRAb7w'),186.5
('0FVcoJko1kfZCrJRfssfIA', 'SdXxLZQQnQNUEL1rGMOQ6w'),186.5
('a48HhwcmjFLApZhiax41IA', '2GUjO7NU88cPXpoffYCU8w'),186.5
('a48HhwcmjFLApZhiax41IA', '6xi9tBoZ6r_v41u_XFsSnA'),186.5
('HLY9oDcVBH9D25lU4X_V5Q', '4ZQq0ozRs-gXSz1z55iIDw'),186.33333333333331
('HLY9oDcVBH9D25lU4X_V5Q', 'oegRUjhGbP62M18WyAL6pQ'),186.0
('KHjroLTG6Ah8LyItTyB2yw', 'LcCRMIDz1JgshpPGYfLDcA'),186.0
('a48HhwcmjFLApZhiax41IA', 'XrRLaAeV20MRwdSIGjj2SQ'),186.0
('tAcY4S3vIuNlAoRlCcz5VA', 'LcCRMIDz1JgshpPGYfLDcA'),186.0
('e5kg9bLvlJz-MEUrGjIeVQ', 'cIbbfJEGLB3B-c8Po4AL5g'),185.83333333333337
('JM0GL6Dx4EuZ1mprLk5Gyg', 'NUtVG7jNPLJR2cxMXMH2-A'),185.66666666666666
('4ZQq0ozRs-gXSz1z55iIDw', 'Hv_q_ZnSIoZwdcoH0CyV2Q'),184.33333333333331
('oegRUjhGbP62M18WyAL6pQ', 'Hv_q_ZnSIoZwdcoH0CyV2Q'),184.0
('7G8w2SnaC-qDVQ7_GqTxMg', 'JqjAthJThuVYgTh4iWDZ2A'),182.16666666666666
('JM0GL6Dx4EuZ1mprLk5Gyg', 'ajxohdcsKhRGFlEvHZDyTw'),179.16666666666669
('39FT2Ui8KUXwmUt6hnwy-g', 'dzJDCQ5vubQBJTfYTEmcbg'),177.28072254542835
('DKolrsBSwMTpTJL22dqJRQ', 'dTeSvET2SR5LDF_J07wJAQ'),170.35557219199245
('39FT2Ui8KUXwmUt6hnwy-g', 'bSUS0YcvS7UelmHvCzNWBA'),170.33568723580237
('5fQ9P6kbQM_E0dx8DL6JWA', 'JM0GL6Dx4EuZ1mprLk5Gyg'),168.08594412123833
('cyuDrrG5eEK-TZI867MUPA', 'SX_SMrddkDU5dySbsZMu9A'),162.0
('cyuDrrG5eEK-TZI867MUPA', 'jnn504CkjtfbYIwBquWmBw'),160.75000000000003
('cyuDrrG5eEK-TZI867MUPA', 'YA-caxALI4C-eCiSM97new'),158.25
('pDNeS1nbkKS7mJmhRQJPig', 'o-t-i7nbT5N_cmkCXs5oDQ'),158.0
('bSUS0YcvS7UelmHvCzNWBA', 'KLB3wIYUwKDPMbijIE92vg'),157.18797857191726
('_VTEyUzzH92X3w-IpGaXVA', '39FT2Ui8KUXwmUt6hnwy-g'),155.81085475833842
('JM0GL6Dx4EuZ1mprLk5Gyg', 'jcriwcTidug0fK8sgAloHA'),154.67456987456993
('ay4M5J28kBUf0odOQct0BA', '39FT2Ui8KUXwmUt6hnwy-g'),152.8333333333333
('A-U-K9z9oraMH7eBZW1dOA', 'jnn504CkjtfbYIwBquWmBw'),152.0
('ZA1OT-PIZwz2kdHDA6mShw', 'JM0GL6Dx4EuZ1mprLk5Gyg'),151.97456987456997
('0FVcoJko1kfZCrJRfssfIA', 'e8uzNcSC5tQMD22GNAQEQA'),148.2142857142857
('SVC0CajvmYfH5uAq4JnGvg', 'l-1cva9rA8_ugLrtSdKAqA'),146.0
('ZZvfGGLnAkSBSUduV7KN-w', 'l-1cva9rA8_ugLrtSdKAqA'),146.0
('ay4M5J28kBUf0odOQct0BA', 'kwIhn1_cnQeUaLN0CuWWHw'),138.46428571428572
('UwV6jBuTR1S9acT6bPTBPw', 'MtdSCXtmrSxj_uZOJ5ZycQ'),132.01666666666668
('fLnkI1uHtXEsjtF6KoBHbQ', 'MtdSCXtmrSxj_uZOJ5ZycQ'),131.30172050172055
('ay4M5J28kBUf0odOQct0BA', 'bSUS0YcvS7UelmHvCzNWBA'),130.30820799208914
('39FT2Ui8KUXwmUt6hnwy-g', 'zBi_JWB5uUdVuz3JLoAxGQ'),129.72368643069498
('_VTEyUzzH92X3w-IpGaXVA', 'KLB3wIYUwKDPMbijIE92vg'),126.66509414640127
('LcCRMIDz1JgshpPGYfLDcA', '4pc_EyanaC3ARh0MZZyouA'),125.13908868908864
('tekHDsd0fskYG3tqu4sHQw', 'MtdSCXtmrSxj_uZOJ5ZycQ'),124.6017205017206
('0FVcoJko1kfZCrJRfssfIA', '7RCz4Ln_FaTvNrdwe251Dg'),120.98095238095259
('39FT2Ui8KUXwmUt6hnwy-g', 'R4l3ONHzGBakKKNo4TN9iQ'),119.5833333333332
('QvLg2kxqHHahxxOlHlEIZw', 'o-t-i7nbT5N_cmkCXs5oDQ'),115.99999999999999
('5DgFmyjW6hkBtXtTMKl4tA', '9S52XHEyrvOv4OZxU6pCLw'),113.74514726147176
('ay4M5J28kBUf0odOQct0BA', '_VTEyUzzH92X3w-IpGaXVA'),112.91386534643071
('DKolrsBSwMTpTJL22dqJRQ', 'WoKCLSctS7G2547xKcED-Q'),111.87023809523812
('0FVcoJko1kfZCrJRfssfIA', 'XPAJ2KHkCwBA0vafF-2Zcg'),110.95932539682542
('0FVcoJko1kfZCrJRfssfIA', '4PQhC-zTQ4ACEN0-r39JuQ'),110.45932539682542
('0FVcoJko1kfZCrJRfssfIA', 'CebjpVd3PsofCgotWp60pg'),110.45932539682542
('2XYdguaaZ7dgi6fAlddujg', '0FVcoJko1kfZCrJRfssfIA'),110.45932539682542
('JM0GL6Dx4EuZ1mprLk5Gyg', 'mu4XvWvJOb3XpG1C_CHCWA'),109.31666666666666
('mm9WYrFhiNqvHCyhQKw3Mg', 'pDNeS1nbkKS7mJmhRQJPig'),108.5
('pDNeS1nbkKS7mJmhRQJPig', 'S1cjSFKcS5NVc3o1MkfpwA'),108.5
('39FT2Ui8KUXwmUt6hnwy-g', 'B0ENvYKQdNNr1Izd2r-BAA'),106.845238095238
('S9dDf0JqSMAvusp5f-9bGw', 'KLB3wIYUwKDPMbijIE92vg'),105.61363636363637
('0FVcoJko1kfZCrJRfssfIA', 'bSUS0YcvS7UelmHvCzNWBA'),105.21626984126989
('DKolrsBSwMTpTJL22dqJRQ', 'tL2pS5UOmN6aAOi3Z-qFGg'),103.91666666666667
('0gZ8E5tBWTEtGEZDuTzhzw', 'cyuDrrG5eEK-TZI867MUPA'),102.5
('4ONcRRisDZkbV1cviA7nFw', 'cyuDrrG5eEK-TZI867MUPA'),102.5
('39FT2Ui8KUXwmUt6hnwy-g', 'KLB3wIYUwKDPMbijIE92vg'),100.27857142857144
('zBi_JWB5uUdVuz3JLoAxGQ', 'KLB3wIYUwKDPMbijIE92vg'),99.45101008743025
('LcCRMIDz1JgshpPGYfLDcA', 'zBi_JWB5uUdVuz3JLoAxGQ'),99.3410478410478
('5DgFmyjW6hkBtXtTMKl4tA', 'MtdSCXtmrSxj_uZOJ5ZycQ'),99.14115477380415
('39FT2Ui8KUXwmUt6hnwy-g', 'bHufZ2OTlC-OUxBDRXxViw'),98.1000000000001
('pDNeS1nbkKS7mJmhRQJPig', 'QUYbGl1DL-9faG150MQ7zA'),96.5
('cm3_8c_NDhPcpwJQ96Aixw', '0FVcoJko1kfZCrJRfssfIA'),96.42857142857153
('JteQGisqOf_pklq7GA0Rww', 'EiwxlbR8fb68lMgEXhcWKA'),96.0
('DPtOaWemjBPvFiZJBi0m8A', 'tekHDsd0fskYG3tqu4sHQw'),95.76666666666668
('e5kg9bLvlJz-MEUrGjIeVQ', 'MrsRJa4SWLq8XLU1RtPdlw'),95.40000000000002
('HLY9oDcVBH9D25lU4X_V5Q', 'e0Jn0ZjqL-dWi7Brs0bbmg'),95.0
('0FVcoJko1kfZCrJRfssfIA', 'tRZAC_H5RHrjvyvtufcNXQ'),94.76190476190489
('HLY9oDcVBH9D25lU4X_V5Q', 'LaiylSIbrA3aPvOYtl-J4A'),94.5
('HLY9oDcVBH9D25lU4X_V5Q', 'ZEq0WtRJD9Bl_vYgCsbfOg'),94.5
('Z9a1tDT8fVI75qXYwNhPpw', 'oegRUjhGbP62M18WyAL6pQ'),94.5
('oegRUjhGbP62M18WyAL6pQ', 'Ih85YhFRDzOnB09yS__94g'),94.5
('DPtOaWemjBPvFiZJBi0m8A', 'e5kg9bLvlJz-MEUrGjIeVQ'),94.4
('Hv_q_ZnSIoZwdcoH0CyV2Q', 'e0Jn0ZjqL-dWi7Brs0bbmg'),94.0
('JteQGisqOf_pklq7GA0Rww', 'Ams0iLRd0AhZZectGKA8fw'),94.0
('tekHDsd0fskYG3tqu4sHQw', 'MrsRJa4SWLq8XLU1RtPdlw'),93.60000000000001
('4ZQq0ozRs-gXSz1z55iIDw', 'Ih85YhFRDzOnB09yS__94g'),93.5
('Hv_q_ZnSIoZwdcoH0CyV2Q', 'LaiylSIbrA3aPvOYtl-J4A'),93.5
('Hv_q_ZnSIoZwdcoH0CyV2Q', 'ZEq0WtRJD9Bl_vYgCsbfOg'),93.5
('Z9a1tDT8fVI75qXYwNhPpw', '4ZQq0ozRs-gXSz1z55iIDw'),93.5
('HLY9oDcVBH9D25lU4X_V5Q', 'wXdrUQg4-VkSZH1FG4Byzw'),93.33333333333333
('0FVcoJko1kfZCrJRfssfIA', 'hqmnMdDS-Opjp3BfBJA8qA'),92.5433811802233
('QvLg2kxqHHahxxOlHlEIZw', 'QUYbGl1DL-9faG150MQ7zA'),92.5
('wXdrUQg4-VkSZH1FG4Byzw', 'Hv_q_ZnSIoZwdcoH0CyV2Q'),92.33333333333333
('EI9ijI9Wh66LrVW-GmWkOg', 'pDNeS1nbkKS7mJmhRQJPig'),90.5
('FyQrUamokaPLDrBxGmzPnA', 'pDNeS1nbkKS7mJmhRQJPig'),90.5
('LKP0Yq9T7Ss6oiDZnVtQwQ', 'pDNeS1nbkKS7mJmhRQJPig'),90.5
('Nf_Jw_W_CwOz5WJ7ApSMxg', 'pDNeS1nbkKS7mJmhRQJPig'),90.5
('WXlxViTwXHPBvhioljN9PQ', 'pDNeS1nbkKS7mJmhRQJPig'),90.5
('ZXyGw3Z1DyhK1sfNtpcyYA', 'pDNeS1nbkKS7mJmhRQJPig'),90.5
('ae7zi8F0B6l_JCITh1mXDg', 'pDNeS1nbkKS7mJmhRQJPig'),90.5
('h-ajC_UHD0QAyAzySN6g2A', 'pDNeS1nbkKS7mJmhRQJPig'),90.5
('k58KNO8Rya-q8njKq8-uBQ', 'pDNeS1nbkKS7mJmhRQJPig'),90.5
('pDNeS1nbkKS7mJmhRQJPig', '9SWtEX1k9AjRg93BAzMCpg'),90.5
('pDNeS1nbkKS7mJmhRQJPig', 'BE4fE4R3TaVn8xy4sYYjbg'),90.5
('pDNeS1nbkKS7mJmhRQJPig', 'DgfsJqg_gozVgaeZ5vjllA'),90.5
('pDNeS1nbkKS7mJmhRQJPig', 'tcWnoX_IfuDmlDl6o6y3_g'),90.5
('39FT2Ui8KUXwmUt6hnwy-g', '1KQi8Ymatd4ySAd4fhSfaw'),90.10000000000001
('ay4M5J28kBUf0odOQct0BA', 'bE7Yd0jI_P6g27MWEKKalA'),89.15049669722845
('A-U-K9z9oraMH7eBZW1dOA', '0gZ8E5tBWTEtGEZDuTzhzw'),86.5
('A-U-K9z9oraMH7eBZW1dOA', '4ONcRRisDZkbV1cviA7nFw'),86.5
('EI9ijI9Wh66LrVW-GmWkOg', 'QvLg2kxqHHahxxOlHlEIZw'),86.5
('QvLg2kxqHHahxxOlHlEIZw', '9SWtEX1k9AjRg93BAzMCpg'),86.5
('QvLg2kxqHHahxxOlHlEIZw', 'BE4fE4R3TaVn8xy4sYYjbg'),86.5
('QvLg2kxqHHahxxOlHlEIZw', 'DgfsJqg_gozVgaeZ5vjllA'),86.5
('QvLg2kxqHHahxxOlHlEIZw', 'FyQrUamokaPLDrBxGmzPnA'),86.5
('QvLg2kxqHHahxxOlHlEIZw', 'LKP0Yq9T7Ss6oiDZnVtQwQ'),86.5
('QvLg2kxqHHahxxOlHlEIZw', 'Nf_Jw_W_CwOz5WJ7ApSMxg'),86.5
('QvLg2kxqHHahxxOlHlEIZw', 'WXlxViTwXHPBvhioljN9PQ'),86.5
('QvLg2kxqHHahxxOlHlEIZw', 'tcWnoX_IfuDmlDl6o6y3_g'),86.5
('ZXyGw3Z1DyhK1sfNtpcyYA', 'QvLg2kxqHHahxxOlHlEIZw'),86.5
('ae7zi8F0B6l_JCITh1mXDg', 'QvLg2kxqHHahxxOlHlEIZw'),86.5
('h-ajC_UHD0QAyAzySN6g2A', 'QvLg2kxqHHahxxOlHlEIZw'),86.5
('k58KNO8Rya-q8njKq8-uBQ', 'QvLg2kxqHHahxxOlHlEIZw'),86.5
('_VTEyUzzH92X3w-IpGaXVA', 'S9dDf0JqSMAvusp5f-9bGw'),83.38636363636364
('B7IvZ26ZUdL2jGbYsFVGxQ', 'cyuDrrG5eEK-TZI867MUPA'),82.75000000000001
('Gua5GdTlTWJpovtG7Hdtyg', 'cyuDrrG5eEK-TZI867MUPA'),82.5
('0FVcoJko1kfZCrJRfssfIA', 'B0ENvYKQdNNr1Izd2r-BAA'),82.15476190476201
('9S52XHEyrvOv4OZxU6pCLw', 'Zk95TMXDx0zMUhYq5u8pxw'),82.08818607186146
('bJguBxPlnTW29tRTAF0nkQ', '0FVcoJko1kfZCrJRfssfIA'),81.95027870680053
('_VTEyUzzH92X3w-IpGaXVA', '0FVcoJko1kfZCrJRfssfIA'),81.8540043290044
('y6jsaAXFstAJkf53R4_y4Q', 'KLB3wIYUwKDPMbijIE92vg'),81.69109135119567
('39FT2Ui8KUXwmUt6hnwy-g', 'qtOCfMTrozmUSHWIcohc6Q'),81.31666666666666
('39FT2Ui8KUXwmUt6hnwy-g', 'mu4XvWvJOb3XpG1C_CHCWA'),79.68333333333332
('S1cjSFKcS5NVc3o1MkfpwA', 'jnn504CkjtfbYIwBquWmBw'),79.5
('mm9WYrFhiNqvHCyhQKw3Mg', 'jnn504CkjtfbYIwBquWmBw'),79.5
('bSUS0YcvS7UelmHvCzNWBA', '4PQhC-zTQ4ACEN0-r39JuQ'),78.5406746031746
('2XYdguaaZ7dgi6fAlddujg', 'bSUS0YcvS7UelmHvCzNWBA'),78.54067460317458
('CebjpVd3PsofCgotWp60pg', 'bSUS0YcvS7UelmHvCzNWBA'),78.54067460317458
('_VTEyUzzH92X3w-IpGaXVA', 'XPAJ2KHkCwBA0vafF-2Zcg'),78.0406746031746
('Gua5GdTlTWJpovtG7Hdtyg', 'A-U-K9z9oraMH7eBZW1dOA'),76.25
('A-U-K9z9oraMH7eBZW1dOA', 'B7IvZ26ZUdL2jGbYsFVGxQ'),76.0
('0FVcoJko1kfZCrJRfssfIA', 'bE7Yd0jI_P6g27MWEKKalA'),72.51785714285714
